county,2016,2017,2018,2019,2020,2021
"Henry County, Georgia",156138,159381,162890,166706,170916,176072
"Houston County, Georgia",110578,111520,112681,114120,115659,119654
"Irwin County, Georgia",7257,7231,7258,7268,7384,7565
"Jackson County, Georgia",46137,47573,48982,50626,52615,55018
"Jasper County, Georgia",10269,10472,10488,10675,10752,11072
"Jeff Davis County, Georgia",10845,10942,10945,11026,11085,10853
"Jefferson County, Georgia",12145,12139,12012,11927,11838,12003
"Jenkins County, Georgia",6964,6767,6787,6825,6920,6871
"Johnson County, Georgia",7669,7802,7801,7824,7875,7515
"Jones County, Georgia",21760,21718,21788,21886,22008,21797
"Lamar County, Georgia",14381,14437,14648,14771,14898,14628
"Lanier County, Georgia",7698,7743,7724,7763,8177,7553
"Laurens County, Georgia",35958,35670,35690,35686,35721,36902
"Lee County, Georgia",21286,21388,21538,21686,21898,23951
"Liberty County, Georgia",45631,44310,44536,44067,44638,46215
"Lincoln County, Georgia",6208,6262,6279,6349,6409,6194
"Long County, Georgia",12238,12764,13053,13419,13866,11866
"Lowndes County, Georgia",86722,86643,87130,87682,88488,88848
"Lumpkin County, Georgia",25103,25724,26184,26471,27078,27371
"McDuffie County, Georgia",16006,15812,16018,16034,16081,16472
"McIntosh County, Georgia",11364,11568,11683,11795,11901,9508
"Macon County, Georgia",11050,11013,10850,10751,10626,10081
"Madison County, Georgia",21804,21994,22232,22487,22819,22948
"Marion County, Georgia",6723,6680,6839,6611,6535,5983
"Meriwether County, Georgia",16460,16495,16496,16532,16576,16252
"Miller County, Georgia",4546,4526,4497,4454,4405,4608
"Mitchell County, Georgia",17345,17263,17220,17129,17206,16979
"Monroe County, Georgia",21331,21216,21358,21546,21646,22009
"Montgomery County, Georgia",7044,7026,7139,7187,7223,6920
"Morgan County, Georgia",13799,13884,14133,14309,14584,15159
"Murray County, Georgia",29325,29451,29630,29813,29966,30028
"Muscogee County, Georgia",151000,149258,147885,147250,147060,153393
"Newton County, Georgia",75642,76794,78090,79550,81160,82312
"Oconee County, Georgia",25612,26329,27083,27986,28807,30081
"Oglethorpe County, Georgia",11470,11460,11612,11585,11728,11664
"Paulding County, Georgia",107862,110422,113794,117295,121281,122330
"Peach County, Georgia",20974,21142,21170,21394,21795,21927
"Pickens County, Georgia",23749,24139,24470,25017,25617,26310
"Pierce County, Georgia",14192,14318,14348,14432,14529,14736
"Pike County, Georgia",13382,13558,13762,14019,14237,14329
"Polk County, Georgia",30464,30662,30828,31071,31475,31827
"Pulaski County, Georgia",9353,9456,9306,9301,9217,8251
"Putnam County, Georgia",17100,17207,17101,17265,17510,17501
"Quitman County, Georgia",1690,1767,1855,1835,1994,1967
"Rabun County, Georgia",13414,13503,13667,13890,14187,13912
"Randolph County, Georgia",5432,5552,5263,5198,5077,4763
"Richmond County, Georgia",153626,154332,154550,155177,155959,158521
"Rockdale County, Georgia",64945,65865,66448,67355,67933,70134
"Schley County, Georgia",3718,3842,3977,3979,4028,3569
"Screven County, Georgia",10908,10928,10941,10969,11041,11054
"Seminole County, Georgia",6779,6694,6622,6607,6506,7293
"Spalding County, Georgia",48359,48671,49212,49761,50466,50922
"Stephens County, Georgia",19863,19863,19932,19991,20324,20854
"Stewart County, Georgia",4949,5000,5245,5524,5702,4734
"Sumter County, Georgia",23541,23475,23295,23143,22990,22955
"Talbot County, Georgia",5194,5288,5260,5233,5202,4871
"Taliaferro County, Georgia",1610,1548,1423,1370,1368,1376
"Tattnall County, Georgia",19894,20107,20114,20175,20193,18457
"Taylor County, Georgia",6570,6523,6499,6459,6490,6257
"Telfair County, Georgia",13460,13483,13372,13351,13265,10249
"Terrell County, Georgia",6887,6806,6795,6705,6653,6999
"Thomas County, Georgia",34073,34051,33974,33981,33953,34794
"Tift County, Georgia",30563,30420,30443,30464,30554,30919
"Toombs County, Georgia",19715,19803,19832,19807,19869,19822
"Towns County, Georgia",9515,9652,9943,10178,10366,10751
"Treutlen County, Georgia",5240,5317,5195,5330,5173,4789
"Troup County, Georgia",51694,51950,52457,52659,52872,52436
"Turner County, Georgia",6158,6038,6027,6009,5989,6667
"Twiggs County, Georgia",6744,6726,6688,6632,6610,6480
"Union County, Georgia",18383,18657,19017,19485,20173,20416
"Upson County, Georgia",20219,20363,20133,20128,20406,20974
"Walker County, Georgia",52697,53320,53593,53910,54303,53147
"Walton County, Georgia",64934,66153,67394,68567,70355,72015
"Ware County, Georgia",27226,27174,27053,27198,27131,27219
"Warren County, Georgia",4318,4262,4218,4195,4179,4142
"Washington County, Georgia",15989,15883,15911,16055,15961,15718
"Wayne County, Georgia",22560,22466,22397,22423,22627,22784
"Webster County, Georgia",2039,2006,1988,1977,2011,1850
"Wheeler County, Georgia",6590,6605,6595,6584,6571,6299
"White County, Georgia",22159,22538,23087,23667,24404,22432
"Whitfield County, Georgia",75520,76094,76388,76886,77122,76317
"Wilcox County, Georgia",7219,7174,7154,7161,7077,7157
"Wilkes County, Georgia",7763,7866,7825,7738,7730,7627
"Wilkinson County, Georgia",7148,7028,6991,6940,6915,6888
"Worth County, Georgia",16149,15940,15854,15878,15828,16218
"Hawaii County, Hawaii",150893,153211,154438,156218,158094,157270
"Honolulu County, Hawaii",773790,777850,776609,775598,772634,799096
"Kalawao County, Hawaii",90,84,71,65,435,47
"Kauai County, Hawaii",54703,55281,55646,56014,56306,57284
"Maui County, Hawaii",125981,127649,128764,129561,130358,128781
"Ada County, Idaho",319078,327266,336905,347052,358787,371775
"Adams County, Idaho",3159,3253,3282,3396,3514,3626
"Bannock County, Idaho",61316,61551,62446,63176,64117,63813
"Bear Lake County, Idaho",4333,4331,4362,4416,4450,4586
"Benewah County, Idaho",7038,7026,6961,7074,7140,7360
"Bingham County, Idaho",30898,30998,31264,31624,32044,32914
"Blaine County, Idaho",16442,16603,16959,17410,17818,18647
"Boise County, Idaho",5617,5704,5880,6118,6422,6357
"Bonner County, Idaho",32950,33389,34176,34898,35874,37275
"Bonneville County, Idaho",74917,75860,77354,79021,81013,84271
"Boundary County, Idaho",8454,8664,8809,9052,9318,9164
"Butte County, Idaho",2045,2080,2015,1986,2044,1983
"Camas County, Idaho",716,664,665,777,828,745
"Canyon County, Idaho",142014,145588,150041,154842,160470,163530
"Caribou County, Idaho",4849,4897,4891,4914,5032,5009
"Cassia County, Idaho",15792,15821,15992,16085,16277,16756
"Clark County, Idaho",646,701,747,648,657,652
"Clearwater County, Idaho",7234,7165,7212,7278,7312,7320
"Custer County, Idaho",3401,3474,3431,3497,3433,3550
"Elmore County, Idaho",19214,19424,19675,20032,20248,21155
"Franklin County, Idaho",8578,8694,8871,9087,9341,9523
"Fremont County, Idaho",9267,9320,9461,9588,9764,10003
"Gem County, Idaho",12944,12876,13069,13315,13691,14419
"Gooding County, Idaho",10859,10918,11013,10984,11116,11200
"Idaho County, Idaho",12962,13043,13098,13194,13306,13266
"Jefferson County, Idaho",17629,17893,18325,18897,19456,20089
"Jerome County, Idaho",15666,15868,16161,16421,16697,16720
"Kootenai County, Idaho",112813,114928,117951,121136,124756,129773
"Latah County, Idaho",31430,31432,31844,32124,32666,32036
"Lemhi County, Idaho",6376,6389,6360,6356,6507,6528
"Lewis County, Idaho",2969,2947,2955,2970,2988,2770
"Lincoln County, Idaho",3632,3657,3696,3766,3776,3724
"Madison County, Idaho",27732,27881,28132,28421,29025,37160
"Minidoka County, Idaho",14508,14583,14691,14796,14848,15125
"Nez Perce County, Idaho",31458,31416,31455,31677,31882,32762
"Oneida County, Idaho",3081,3057,3057,3081,3170,3278
"Owyhee County, Idaho",8310,8347,8429,8530,8694,8777
"Payette County, Idaho",16658,16663,16825,17085,17492,18384
"Power County, Idaho",5296,5345,5392,5348,5273,5414
"Shoshone County, Idaho",10062,9989,10014,10057,10138,10415
"Teton County, Idaho",7506,7824,8159,8545,8885,8721
"Twin Falls County, Idaho",58583,59334,60425,61327,62489,64642
"Valley County, Idaho",8084,8243,8503,8890,9208,9543
"Washington County, Idaho",7647,7658,7680,7712,7803,8027
"Adams County, Illinois",51765,51688,51394,51164,50793,50882
"Alexander County, Illinois",5368,5130,4951,4803,4652,4242
"Bond County, Illinois",13735,13719,13507,13428,13368,13668
"Boone County, Illinois",39444,39689,39899,40023,40115,40386
"Brown County, Illinois",5791,5747,5629,5486,5416,5227
"Bureau County, Illinois",26373,26266,26123,26025,25838,26194
"Calhoun County, Illinois",3918,3871,3839,3821,3798,3620
"Carroll County, Illinois",11910,11831,11721,11661,11677,12541
"Cass County, Illinois",9872,9741,9611,9450,9316,9847
"Champaign County, Illinois",167147,168449,169892,170337,170372,167098
"Christian County, Illinois",26700,26596,26388,26185,26155,26817
"Clark County, Illinois",12432,12270,12195,12093,12093,11967
"Clay County, Illinois",10445,10474,10365,10270,10201,10249
"Clinton County, Illinois",29766,29601,29636,29662,29609,29113
"Coles County, Illinois",43276,43109,42379,42098,41892,38896
"Cook County, Illinois",4041177,4064766,4063294,4053168,4040892,4113751
"Crawford County, Illinois",15655,15496,15290,15209,15205,15116
"Cumberland County, Illinois",8387,8419,8384,8355,8357,8124
"DeKalb County, Illinois",81586,81726,81607,81843,82124,79037
"De Witt County, Illinois",12765,12630,12544,12489,12286,12288
"Douglas County, Illinois",14756,14819,14755,14710,14694,14789
"DuPage County, Illinois",711743,715152,716869,716576,715768,721393
"Edgar County, Illinois",13993,13899,13895,13878,13851,13621
"Edwards County, Illinois",5096,5042,4992,4956,4957,4817
"Effingham County, Illinois",26184,25969,26098,26043,26107,26252
"Fayette County, Illinois",17267,17425,17202,17111,16991,16944
"Ford County, Illinois",10585,10373,10336,10253,10180,10458
"Franklin County, Illinois",30735,30587,30436,30305,30154,29554
"Fulton County, Illinois",28745,28580,28334,28130,27839,27286
"Gallatin County, Illinois",4173,4100,4088,4026,3937,4033
"Greene County, Illinois",10495,10431,10437,10403,10265,9552
"Grundy County, Illinois",37306,37352,37573,37785,37980,39141
"Hamilton County, Illinois",6404,6419,6397,6364,6389,6268
"Hancock County, Illinois",14753,14409,14327,14193,14084,14034
"Hardin County, Illinois",3427,3435,3302,3263,3339,3189
"Henderson County, Illinois",5631,5617,5614,5551,5502,5289
"Henry County, Illinois",38319,38417,38350,38250,38110,38361
"Iroquois County, Illinois",22408,22177,22002,21740,21483,21343
"Jackson County, Illinois",48485,48397,47901,47331,46887,43552
"Jasper County, Illinois",7375,7358,7391,7368,7380,7174
"Jefferson County, Illinois",30073,29893,29723,29543,29393,28975
"Jersey County, Illinois",17633,17492,17438,17380,17362,17143
"Jo Daviess County, Illinois",17821,17767,17632,17462,17364,17811
"Johnson County, Illinois",10551,10563,10273,10230,10138,10690
"Kane County, Illinois",383662,387946,391094,393676,396103,387240
"Kankakee County, Illinois",84579,84355,85102,85128,84828,83336
"Kendall County, Illinois",85239,86720,88284,89708,91229,93603
"Knox County, Illinois",41451,41227,40941,40517,40122,40151
"Lake County, Illinois",523713,527822,529440,529927,530472,542057
"LaSalle County, Illinois",87288,86853,86366,86024,85611,86278
"Lawrence County, Illinois",13426,13321,13046,13139,12845,12520
"Lee County, Illinois",27712,27731,27660,27577,27479,27522
"Livingston County, Illinois",29137,28767,28483,28278,28029,28037
"Logan County, Illinois",24242,23884,23567,23396,23291,22773
"McDonough County, Illinois",26453,26352,25734,25256,24963,22934
"McHenry County, Illinois",230176,232322,233358,234370,235064,237841
"McLean County, Illinois",135088,135200,135483,135227,135113,134442
"Macon County, Illinois",84148,83572,82758,82008,81369,80848
"Macoupin County, Illinois",36410,36059,35926,35780,35643,35578
"Madison County, Illinois",207456,207269,207102,206631,206666,207634
"Marion County, Illinois",29682,29576,29348,29068,28878,28889
"Marshall County, Illinois",9612,9509,9420,9284,9190,9346
"Mason County, Illinois",10984,11004,10923,10804,10705,10469
"Massac County, Illinois",11615,11358,11230,11015,10954,11133
"Menard County, Illinois",9724,9637,9633,9612,9519,9518
"Mercer County, Illinois",12469,12360,12296,12225,12179,12398
"Monroe County, Illinois",25936,26013,26279,26526,26781,26961
"Montgomery County, Illinois",23425,23316,23252,23052,22862,22695
"Morgan County, Illinois",27907,27669,27856,27759,27526,26822
"Moultrie County, Illinois",11248,11020,10976,10965,10870,10872
"Ogle County, Illinois",40011,39765,39616,39465,39344,40064
"Peoria County, Illinois",142153,141740,140576,139285,138046,138668
"Perry County, Illinois",17375,17353,17306,17212,17032,17051
"Piatt County, Illinois",12741,12709,12725,12705,12743,12926
"Pike County, Illinois",12484,12374,12210,12129,12082,11521
"Pope County, Illinois",3515,3661,3641,3577,3563,3127
"Pulaski County, Illinois",4491,4457,4404,4304,4258,4165
"Putnam County, Illinois",4588,4613,4607,4606,4591,4485
"Randolph County, Illinois",26586,26506,26224,26080,25848,24677
"Richland County, Illinois",12417,12428,12269,12140,12062,12134
"Rock Island County, Illinois",113715,113392,112750,111739,110967,112137
"St. Clair County, Illinois",201515,201247,201008,200499,199862,197437
"Saline County, Illinois",19277,19088,18962,18798,18609,18710
"Sangamon County, Illinois",153076,153022,153047,152674,152335,152835
"Schuyler County, Illinois",5858,5866,5719,5649,5713,5743
"Scott County, Illinois",4003,3966,3917,3909,3921,3846
"Shelby County, Illinois",17244,17184,17163,17103,16969,16570
"Stark County, Illinois",4609,4330,4301,4273,4239,4278
"Stephenson County, Illinois",36233,35866,35609,35355,35083,35136
"Tazewell County, Illinois",104136,103671,103169,102821,102492,101880
"Union County, Illinois",13822,13582,13555,13379,13252,13591
"Vermilion County, Illinois",60515,60271,59725,59125,58601,57187
"Wabash County, Illinois",9055,9019,9009,8980,8900,8863
"Warren County, Illinois",13703,13558,13462,13390,13281,13207
"Washington County, Illinois",11318,11164,11096,11020,10997,10901
"Wayne County, Illinois",12784,12816,12737,12679,12626,12547
"White County, Illinois",11262,11073,10933,10874,10789,10878
"Whiteside County, Illinois",44166,43990,43786,43540,43334,43534
"Will County, Illinois",502462,507938,511536,514973,517905,523977
"Williamson County, Illinois",52608,52674,52555,52420,52339,52498
"Winnebago County, Illinois",219737,219221,218501,217729,217144,218063
"Woodford County, Illinois",29344,29232,29248,29300,29200,29197
"Adams County, Indiana",23864,24083,24181,24287,24368,24398
"Allen County, Indiana",269459,271705,273884,276268,279038,283322
"Bartholomew County, Indiana",60811,61575,62209,62710,63343,62052
"Benton County, Indiana",6504,6514,6498,6516,6522,6507
"Blackford County, Indiana",9667,9548,9549,9422,9308,9426
"Boone County, Indiana",45146,46061,47061,48175,49257,51534
"Brown County, Indiana",12013,12229,12283,12384,12425,12764
"Carroll County, Indiana",15349,15402,15459,15592,15662,15774
"Cass County, Indiana",29124,29180,29165,29067,29030,29145
"Clark County, Indiana",87681,88545,89237,90073,90964,93071
"Clay County, Indiana",20340,20273,20213,20207,20134,20228
"Clinton County, Indiana",24128,23925,23844,23813,23747,24286
"Crawford County, Indiana",8202,8253,8231,8148,8222,8208
"Daviess County, Indiana",23072,23250,23302,23421,23519,23388
"Dearborn County, Indiana",38049,38033,38195,38213,38442,39145
"Decatur County, Indiana",19770,19958,20043,20120,20208,20132
"DeKalb County, Indiana",31833,31990,32218,32455,32720,32544
"Delaware County, Indiana",94225,93971,93958,93705,93557,91825
"Dubois County, Indiana",31969,31979,31943,32031,32171,32794
"Elkhart County, Indiana",145183,146298,146927,147834,148573,149162
"Fayette County, Indiana",18302,18222,18097,18065,17989,18220
"Floyd County, Indiana",58589,58802,59174,59698,60285,61487
"Fountain County, Indiana",12921,12873,12832,12795,12850,12781
